state,city,project_name,domain,status,amount_raw,amount_usd,description
Michigan,Ann arbor,Surface Transportation Block Grant LED Light Conversion,Energy Efficiency,In Progress,"$163,472",163472.0,"This project involves converting lights to LEDs, improving energy efficiency in transportation infrastructure."
Michigan,Ann arbor,Safe Streets and Roads for All,Transport Emissions,In Progress,"$259,291",259291.0,"This program aims to improve street and road safety for all users, which can include infrastructure for pedestrians and cyclists, contributing to reduced transport emissions."
Michigan,Ann arbor,Renewable Energy Research and Development - District Geothermal Design and Deployment,Energy Efficiency,In Progress,"$248,304",248304.0,"This project focuses on the design and deployment of district geothermal systems, promoting renewable energy and energy efficiency."
Michigan,Ann arbor,Energy Efficiency and Conservation Block Grant Program,Energy Efficiency,In Progress,"$176,226",176226.0,This grant program supports various initiatives aimed at improving energy efficiency and conservation within the city.
Michigan,Battle Creek,repair and replacement of major and local streets,Transport Emissions,Completed,$2.2 million,2200000.0,"This project involved the repair and replacement of major and local streets, contributing to transport infrastructure."
Michigan,Battle Creek,airport development and maintenance projects,Transport Emissions,Planned,Not stated,,"This project involves future development and maintenance of the airport infrastructure, identified in the Capital Improvements Program."
Michigan,Battle Creek,chiller replacement at Full Blast,Energy Efficiency,Completed,"$551,311",551311.0,"This project involved replacing the chiller at Full Blast, improving energy efficiency."
Michigan,Battle Creek,"Vehicle additions (police cars, dump trucks, sewer VAC truck)",Transport Emissions,Completed,Not stated,,"This project involved the addition of multiple police cars, dump trucks, and a sewer VAC truck to the city's fleet."
Michigan,Battle Creek,Edgebrook and Minges Brook Pump Station improvements,Waste Management,In Progress,$6.2 million,6200000.0,"This project involves improvements to the Edgebrook and Minges Brook Pump Stations, which are part of the wastewater system."
Michigan,Battle Creek,Lead service replacements,Waste Management,Completed,"$445,675",445675.0,"This project involved replacing lead service lines, improving water quality and infrastructure."
Michigan,Battle Creek,2016A water and wastewater system,Waste Management,In Progress,"$7,725,000",7725000.0,Financing for various water main and sewer projects to improve the city's wastewater infrastructure.
Michigan,Battle Creek,2016B water and wastewater system,Waste Management,In Progress,"$8,890,000",8890000.0,Financing for various water main and sewer projects to improve the city's wastewater infrastructure.
Michigan,Battle Creek,2023 water and wastewater system,Waste Management,In Progress,"$10,000,000",10000000.0,Financing for various water main and sewer projects to improve the city's wastewater infrastructure.
Michigan,Battle Creek,Brownfield Redevelopment Loan (2008),Waste Management,Completed,"$3,530,000",3530000.0,Loan to fund a particular brownfield project for environmental contamination remediation.
Michigan,Battle Creek,Brownfield Redevelopment Loan (2010),Waste Management,In Progress,"$5,500,000",5500000.0,Loan to fund a particular brownfield plan for environmental contamination remediation.
Michigan,Battle Creek,"Water and Wastewater System Revenue Bonds, Series 2016B (Federally Taxable – Qualified Energy Conservation Bonds)",Energy Efficiency,Completed,"$5,415,000",5415000.0,"These bonds were issued to fund qualified energy conservation projects within the city's water and wastewater system, directly contributing to energy efficiency."
Michigan,Battle Creek,FY 2021 Section 5307 - Operating Assistance & 5339 Capital Projects,Transport Emissions,Unknown,"$1,889,727",1889727.0,"This grant supports transit capital projects and operating assistance, contributing to public transportation."
Michigan,Battle Creek,FY 2023 Section 5307 - Local Federal Transit Formula Grants & Surface Transportation Program,Transport Emissions,Unknown,"$45,733",45733.0,This grant provides formula funds for local transit and surface transportation programs.
Michigan,Battle Creek,FY 2016 Section 5339 - Local Bus & Bus Facilities Formula Program,Transport Emissions,Unknown,"$3,381",3381.0,"This program funds bus and bus facility improvements, including those for low or no emissions vehicles."
Michigan,Battle Creek,"FY 2021, 2022, & 2023 Section 5339 - Local Bus & Bus Facilities Formula Program",Transport Emissions,Unknown,"$6,683",6683.0,"This program funds bus and bus facility improvements, including those for low or no emissions vehicles."
Michigan,Battle Creek,2023 Section 5310 New Freedom Program,Transport Emissions,Unknown,"$(5,355)",-5355.0,"This program enhances mobility for seniors and individuals with disabilities, supporting public transit services."
Michigan,Battle Creek,2024 Section 5310 New Freedom Program,Transport Emissions,Unknown,"$48,594",48594.0,"This program enhances mobility for seniors and individuals with disabilities, supporting public transit services."
Michigan,Battle Creek,Energy Efficiency and Conservation Block Grant Program (EECBG),Energy Efficiency,Unknown,"$29,111",29111.0,This program directly funds energy efficiency and conservation initiatives.
Michigan,Harrison,2024 Street sweeper financing lease agreement,Transport Emissions,In Progress,"$333,222",333222.0,"Financing for a street sweeper, which is part of the city's fleet and relates to transport emissions management."
Michigan,Harrison,2018 Fire Fund note for the purchase of a tanker truck,Transport Emissions,In Progress,"$238,000",238000.0,"Financing for a tanker truck, which is part of the city's fleet and relates to transport emissions management."
Michigan,Harrison,2022 Fire Fund note for the purchase of a tanker truck,Transport Emissions,In Progress,"$248,000",248000.0,"Financing for a tanker truck, which is part of the city's fleet and relates to transport emissions management."
Michigan,Harrison,2020 Solar panel agreement (Governmental Activities),Energy Efficiency,In Progress,"$160,959",160959.0,"Financing for solar panel installation for governmental activities, contributing to renewable energy and energy efficiency."
Michigan,Harrison,2020 Solar panel agreement (Business-Type Activities),Energy Efficiency,In Progress,"$757,796",757796.0,"Financing for solar panel installation for business-type activities, contributing to renewable energy and energy efficiency."
Michigan,Highland park,Water and Sewer Fund Construction Project (MDOT),Waste Management,In Progress,"$351,286",351286.0,"This project involves active construction within the Water and Sewer Fund, contributing to wastewater infrastructure."
Michigan,Highland park,Water and Sewer Fund Construction Project (Metro Consulting - Project 1),Waste Management,In Progress,"$1,280,161",1280161.0,"This project involves active construction within the Water and Sewer Fund, contributing to wastewater infrastructure."
Michigan,Highland park,Water and Sewer Fund Construction Project (Metro Consulting - Project 2),Waste Management,In Progress,"$2,720,000",2720000.0,"This project involves active construction within the Water and Sewer Fund, contributing to wastewater infrastructure."
Michigan,Grand Rapids,Investments in renewable energy,Energy Efficiency,Completed,Not stated,,The city made investments to achieve its goal of 100% renewable energy for municipal operations by 2025.
Michigan,Grand Rapids,Vital Streets Initiative,Transport Emissions,In Progress,Not stated,,"An environmental sustainability project focused on streets, contributing to the city's green community certification."
Michigan,Grand Rapids,DART EV Carshare,Transport Emissions,In Progress,Not stated,,An environmental sustainability project involving an EV carshare program.
Michigan,Grand Rapids,Feet on the Street recycling education program,Waste Management,In Progress,Not stated,,An environmental sustainability project focused on educating the public about recycling.
Michigan,Grand Rapids,E.H.Zero residential renovation pilot,Energy Efficiency,Completed,Not stated,,"A pilot program focused on residential renovations to improve health, financial, and energy efficiency outcomes for residents, serving 10 homes."
Michigan,Grand Rapids,Rehabilitation or reconstruction of major and local streets,Transport Emissions,Completed,"$31,228,349",31228349.0,Projects for the rehabilitation and reconstruction of major and local streets were completed during the fiscal year.
Michigan,Grand Rapids,Street Lighting System replacement with LED and Smart Technology,Energy Efficiency,In Progress,Not stated,,"An ongoing project to replace the aging street lighting system with 18,000 LED streetlights and smart technology to improve safety, reliability, and decrease operational costs."
Michigan,Grand Rapids,Belknap chiller project,Energy Efficiency,In Progress,Not stated,,"A project involving the Belknap chiller, for which new debt was issued, contributing to energy efficiency."
Michigan,Grand Rapids,Purchase of a demo fire engine,Transport Emissions,Completed,"$434,400",434400.0,"This project involves the purchase of a demonstration fire engine, supporting fleet electrification efforts."
Michigan,Grand Rapids,Butterworth Landfill Solar Array,Energy Efficiency,In Progress,"$66,700",66700.0,"This project involves design phase services for a solar array at Butterworth Landfill, promoting renewable energy generation."
Michigan,Grand Rapids,Modernization of fleet maintenance and yard facilities to accommodate alternative fuels (as part of move to 1500 Scribner),Transport Emissions,In Progress,Not stated,,"This project modernizes fleet maintenance and yard facilities to support the transition to alternative fuels, reducing transport emissions."
Michigan,Grand Rapids,Major investments in trails and river’s edge parks (trails component),Transport Emissions,In Progress,Not stated,,"This project includes major investments in trails, enhancing infrastructure for pedestrian and cycling to reduce transport emissions."
Michigan,Grand Rapids,Grand River Greenway,Transport Emissions,In Progress,Not stated,,"This transformational project involves the Grand River Greenway, which supports active transportation through trails and paths."
Michigan,Grand Rapids,Regional biosolids management project,Waste Management,In Progress,Not stated,,"This project involves the development, construction, and operation of a regional system for managing biosolids."
Michigan,Grand Rapids,Street rehabilitation projects,Transport Emissions,In Progress,Not stated,,"These projects involved unexpected rehabilitation work on local streets, improving infrastructure that impacts vehicle operation."
Michigan,Grand Rapids,Vital Streets Capital Construction,Transport Emissions,Unknown,"$61,802",61802.0,This active construction project for vital streets likely includes infrastructure for bike lanes and pedestrian paths.
Michigan,Grand Rapids,2024 Parks Improvement Bonds (ELC & Chiller),Energy Efficiency,Unknown,"$10,930,000",10930000.0,"This bond funds a chiller, an HVAC component, which contributes to energy efficiency."
Michigan,Grand Rapids,2021 LTGO Capital Improvement (street lighting),Energy Efficiency,Unknown,"$10,385,000",10385000.0,"This bond funds street lighting improvements, which often involve the installation of energy-efficient LEDs."
Michigan,Grand Rapids,2018 LTGO Capital Improvement (street lighting),Energy Efficiency,Unknown,"$7,415,000",7415000.0,
Michigan,Grand Rapids,Sidewalk Repair,Transport Emissions,In Progress,"$2,392,366",2392366.0,"Funds are used for the repair, improvement, and reconstruction of pedestrian paths, promoting active transport."
Michigan,Grand Rapids,Streets Capital Construction,Transport Emissions,In Progress,"$553,293",553293.0,"Funds are used for traffic safety, street resurfacing, and street reconstruction projects, which can include signal modernization and improved infrastructure for various transport modes."
Michigan,Grand Rapids,Parks Capital Projects,Transport Emissions,In Progress,"$5,303,183",5303183.0,"Funds are used for parks improvement projects, which often include the development of pedestrian paths and bike lanes to encourage active transportation."
Michigan,Grand Rapids,Street lighting additions,Energy Efficiency,Completed,"$3,876,601",3876601.0,"Investment in new or upgraded street lighting infrastructure, likely including energy-efficient LEDs."
Michigan,Grand Rapids,Traffic safety additions,Transport Emissions,Completed,"$48,002",48002.0,"Investment in new or upgraded traffic safety infrastructure, potentially including signal modernization to improve traffic flow."
Michigan,Lansing,Pedestrian Island Installation,Transport Emissions,Completed,Not stated,,The project installed three new pedestrian islands at high-traffic areas along the South Martin Luther King Jr. Blvd. corridor to provide pedestrians with safer crossing points.
Michigan,Lansing,SMLKCIA Community Cleanup,Waste Management,Completed,Not stated,,The South Martin Luther King Jr. Corridor Improvement Authority hosted its first annual community cleanup to manage solid waste.
Michigan,Lansing,LGCIA Community Cleanup,Waste Management,Completed,Not stated,,The Lansing Gateway Corridor Improvement Authority hosted a community cleanup as part of its maintenance and beautification efforts.
Michigan,Lansing,Construction of parking structures,Transport Emissions,Unknown,Not stated,,The Lansing Building Authority's bonds financed the construction of parking structures.
Michigan,Lansing,Recycling,Waste Management,Unknown,"17,866",17866.0,"This entry represents an expenditure related to the city's recycling program, which falls under waste management."
Michigan,Lansing,energy conservation project,Energy Efficiency,Unknown,Not stated,,This project is explicitly mentioned as a purpose for General Obligation bonds and aims to conserve energy.
Michigan,Lansing,Recycling Fund Capital Asset Purchase,Waste Management,Completed,"$579,997",579997.0,"Capital assets were purchased to support the city's recycling services, contributing to waste management efforts."
Michigan,Lansing,Major Streets Capital Outlay,Transport Emissions,Completed,"$9,281,022",9281022.0,"Capital expenditures for major streets, which may include infrastructure improvements that impact transport emissions."
Michigan,Lansing,Local Streets Capital Outlay,Transport Emissions,Completed,"$1,603,224",1603224.0,"Capital expenditures for local streets, which may include infrastructure improvements that impact transport emissions."
Michigan,Jackson,Signal replacements on Lansing Avenue and Clinton Road,Transport Emissions,Completed,Not stated,,"This project involves modernizing traffic signals, which improves traffic flow and reduces transport emissions."
Michigan,Jackson,MLK Trail Reconstruction,Transport Emissions,Completed,Not stated,,"This project reconstructs a trail, enhancing pedestrian and bike infrastructure to reduce transport emissions."
Michigan,Jackson,Enhancements to crosswalks,Transport Emissions,Completed,Not stated,,"This project improves crosswalks, enhancing pedestrian safety and encouraging walking to reduce transport emissions."
Michigan,Jackson,MLK Jr. Drive Reconstruction Project (sidewalk improvements component),Transport Emissions,In Progress,Not stated,,"This project includes sidewalk improvements, enhancing pedestrian infrastructure to reduce transport emissions."
Michigan,Jackson,Ganson Street Reconstruction Project (sidewalk improvements component),Transport Emissions,Planned,Not stated,,"This project includes sidewalk improvements, enhancing pedestrian infrastructure to reduce transport emissions."
Michigan,Jackson,Corridor Revitalization on S. MLK Drive (pedestrian access component),Transport Emissions,In Progress,Not stated,,"This project enhances pedestrian access, improving infrastructure for walking to reduce transport emissions."
Michigan,Jackson,Sidewalk construction,Transport Emissions,In Progress,"$48,086",48086.0,"Construction of sidewalks provides pedestrian paths, supporting active transportation and reducing transport emissions."
Michigan,Jackson,Traffic services,Transport Emissions,In Progress,"$754,762",754762.0,Expenditures for traffic services may include signal modernization to improve traffic flow and reduce transport emissions.
Michigan,Jackson,2017 transportation bond,Transport Emissions,In Progress,"$4,205,000",4205000.0,This bond provides funds for the acquisition and construction of major transportation capital facilities and infrastructure.
Michigan,Jackson,2024 Michigan Transportation Fund bonds,Transport Emissions,In Progress,"$3,350,000",3350000.0,This bond provides funds for the acquisition and construction of major transportation capital facilities and infrastructure.
Michigan,Jackson,2022 sewer system junior lien revenue bonds (5740-01),Waste Management,In Progress,"$8,122,087",8122087.0,"This bond provides funds for the acquisition and construction of sewer system capital facilities, which are a component of waste management."
Michigan,Jackson,Renovations to the City Martin Luther King Center,Energy Efficiency,Unknown,"$2,000,000",2000000.0,"This project involves renovations to a city building, which commonly include energy efficiency upgrades such as HVAC, insulation, or LED lighting."
Michigan,Jackson,Various capital road improvements,Transport Emissions,In Progress,"$3,650,000",3650000.0,"This project involves capital road improvements, which can include infrastructure designed to reduce transport emissions, such as bike lanes, pedestrian paths, or signal modernization."
Michigan,Jackson,Capital Road Improvements,Transport Emissions,In Progress,"$2,053,993",2053993.0,"This project involves various capital road improvements, funded by the Michigan Transportation Bonds Construction Fund, which are essential for the city's transportation infrastructure and can influence transport emissions."
Michigan,Jackson,Inflation Reduction Act Urban & Community Forestry Program,Energy Efficiency,In Progress,"$118,404",118404.0,"This program aims to enhance urban tree cover, contributing to energy efficiency by reducing cooling demands for buildings and sequestering carbon."
Michigan,Jackson,"Brownfields Multipurpose, Assessment, Revolving Loan Fund, and Cleanup Cooperative Agreements",Waste Management,In Progress,"$159,947",159947.0,"This program funds the assessment and cleanup of contaminated brownfield sites, directly addressing waste management and environmental remediation."
Michigan,Kalamazoo,Signal projects,Transport Emissions,Completed,"$15.4 million (for various street, bridge, and signal projects)",,These projects involved modernizing traffic signals to improve transport efficiency.
Michigan,Kalamazoo,Improvements to the solids handling processing systems,Waste Management,Completed,$12 million,12000000.0,This project upgraded the solids handling processing systems within the wastewater infrastructure.
